#bpm=115
CU,1043,0,0
CU,1565,0,0
CU,2086,0,0
CU,2608,0,0
CU,3130,4,0
CU,3652,4,0
CU,4173,4,0
CU,4695,4,0
CU,5217,1,0
CU,5739,1,0
CU,6260,1,0
CU,6782,1,0
CU,7304,2,0
CU,7826,2,0
CU,8347,2,0
CU,8869,2,0
CU,9391,0,0
CU,9913,0,0
1B,9913,4,0
CU,10434,0,0
CU,10956,0,0
1B,10956,4,0
CU,11478,3,0
1B,12000,1,0
CU,12000,3,0
CU,12521,3,0
1B,13043,1,0
CU,13043,3,0
CU,13565,0,0
1B,13956,4,0
CU,14086,0,0
1B,14478,4,0
CU,14608,0,0
1B,15000,4,0
CU,15130,0,0
CV,15521,3,0
34,15782,0,0
34,15913,2,0
34,16043,0,0
34,16304,3,0
34,16434,1,0
34,16565,3,0
34,16826,2,0
34,16956,4,0
34,17086,2,0
3E,17217,3,0
53,17739,0,0
9U,17739,4,0
9V,18000,4,0
9W,18391,1,0
9X,18521,3,0
9Y,18652,2,0
9U,18782,4,0
9V,19043,4,0
9W,19434,1,0
9X,19565,3,0
9Y,19695,2,0
9U,19826,4,0
9V,20086,4,0
9W,20478,1,0
9X,20608,3,0
9Y,20739,2,0
9Z,20869,4,0
A0,21130,3,0
A1,21260,1,0
9W,21521,3,0
9X,21652,2,0
9Y,21782,4,0
A2,21913,0,0
A3,22173,2,0
A4,22304,4,0
A5,22565,3,0
A6,22695,1,0
A2,22956,0,0
A3,23217,2,0
A4,23347,4,0
A5,23608,3,0
A6,23739,1,0
A2,24000,0,0
A3,24260,2,0
A4,24391,4,0
A5,24652,3,0
A6,24782,1,0
A2,25043,0,0
A3,25304,2,0
A4,25434,4,0
A5,25695,3,0
A6,25826,1,0
9U,26086,4,0
9V,26347,4,0
9W,26739,2,0
9X,26869,1,0
9Y,27000,3,0
9U,27130,0,0
9V,27391,0,0
9W,27782,2,0
9X,27913,3,0
9Y,28043,1,0
9U,28173,4,0
9V,28434,4,0
9W,28826,2,0
9X,28956,1,0
9Y,29086,3,0
9Z,29217,0,0
A0,29478,4,0
A1,29608,2,0
9W,29869,3,0
9X,30000,1,0
9Y,30130,2,0
A2,30260,0,0
A3,30521,2,0
A4,30652,4,0
A5,30913,3,0
A6,31043,1,0
A2,31304,0,0
A3,31565,2,0
A4,31695,4,0
A5,31956,3,0
A6,32086,1,0
A2,32347,0,0
A3,32608,2,0
A4,32739,4,0
A5,33000,3,0
A6,33130,1,0
A2,33391,0,0
A3,33652,2,0
A4,33782,4,0
A5,34043,3,0
A6,34173,1,0
53,34434,0,0
9U,34434,4,0
9V,34695,4,0
3D,34826,4,0
9W,35086,1,0
9X,35217,3,0
9Y,35347,2,0
9U,35478,4,0
9V,35739,4,0
3D,35869,4,0
9W,36130,1,0
9X,36260,3,0
9Y,36391,2,0
9U,36521,4,0
9V,36782,4,0
3V,36913,4,0
9W,37173,2,0
9X,37304,1,0
9Y,37434,3,0
9Z,37565,0,0
A0,37826,4,0
A1,37956,2,0
9W,38217,3,0
9X,38347,1,0
9Y,38478,2,0
A2,38608,0,0
A3,38869,2,0
A4,39000,4,0
A5,39260,3,0
A6,39391,1,0
4G,39521,2,0
A2,39652,0,0
A3,39913,2,0
A4,40043,4,0
A5,40304,3,0
A6,40434,1,0
4G,40565,2,0
A2,40695,0,0
A3,40956,2,0
A4,41086,4,0
A5,41347,3,0
A6,41478,1,0
4G,41608,2,0
A2,41739,0,0
A3,42000,2,0
A4,42130,4,0
A5,42391,3,0
A6,42521,1,0
4G,42652,2,0
9U,42782,4,0
9V,43043,4,0
3D,43173,4,0
9W,43434,2,0
9X,43565,1,0
9Y,43695,3,0
9U,43826,0,0
9V,44086,0,0
3D,44217,0,0
9W,44478,2,0
9X,44608,3,0
9Y,44739,1,0
9U,44869,4,0
9V,45130,4,0
3V,45260,4,0
9W,45521,2,0
9X,45652,1,0
9Y,45782,3,0
9Z,45913,0,0
A0,46173,3,0
A1,46304,1,0
9W,46565,2,0
9X,46695,1,0
9Y,46826,3,0
CW,46956,0,0
CX,47217,2,0
39,47347,4,0
CW,47478,0,0
CX,47739,1,0
39,47869,3,0
CW,48000,0,0
CX,48260,2,0
39,48391,4,0
3E,48782,4,0
52,48913,0,0
CY,49043,3,0
CZ,49304,3,0
D0,49826,1,0
D1,49956,3,0
D2,50347,3,0
53,51130,0,0
HI,51130,2,1565
3E,51652,1,0
3E,52695,1,0
HJ,53217,3,783
3E,53739,1,0
HK,54260,4,783
3E,54782,2,0
D3,55304,3,0
D4,55695,2,0
3E,55826,4,0
D5,56086,0,0
D6,56347,2,0
3E,56869,1,0
D7,57130,4,0
HL,57391,0,913
3E,57913,4,0
HM,58434,1,522
3E,58956,4,0
D8,59217,2,0
HN,59478,3,1826
3E,60000,0,0
3E,61043,0,0
HO,61565,1,783
3E,62086,3,0
HP,62608,4,783
3E,63130,2,0
D9,63652,0,0
DA,64043,4,0
3E,64173,1,0
HQ,64434,3,783
3E,65217,2,0
DB,65478,4,0
HR,65739,1,1826
3E,66260,2,0
3E,67304,4,0
34,67565,3,0
5O,67826,0,0
5Q,68086,2,0
5R,68217,4,0
5S,68478,3,0
5T,68739,1,0
5U,69130,2,0
5V,69521,4,0
5W,69913,0,0
5X,70173,1,0
5Y,70304,3,0
5Z,70565,2,0
60,70826,4,0
61,71217,4,0
62,71608,2,0
63,72000,4,0
64,72260,3,0
65,72391,1,0
66,72652,0,0
67,72913,1,0
68,73304,1,0
69,73695,3,0
6A,74086,0,0
6B,74347,1,0
6C,74478,3,0
6D,74739,2,0
6G,75000,4,0
6I,75391,1,0
6J,75782,3,0
5O,76173,4,0
5Q,76434,2,0
5R,76565,0,0
5S,76826,1,0
5T,77086,1,0
5U,77478,3,0
5V,77869,2,0
6N,78260,1,0
6O,78521,2,0
6P,78652,4,0
6Q,78913,3,0
6R,79173,3,0
6S,79565,4,0
6T,79956,2,0
63,80347,1,0
64,80608,2,0
65,80739,4,0
66,81000,2,0
67,81260,2,0
68,81652,1,0
69,82043,3,0
DC,82434,0,0
DD,82956,2,0
DE,83478,4,0
DF,84000,0,0
DG,84130,2,0
DH,84260,1,0
DI,84391,3,0
DJ,84521,0,0
DK,84782,2,0
DL,84913,4,0
DM,85173,3,0
DN,85304,1,0
DO,85565,2,0
DP,85826,4,0
DQ,85956,0,0
DR,86217,3,0
DS,86347,1,0
DT,86608,0,0
DU,86869,2,0
DV,87000,4,0
DW,87260,3,0
DX,87391,1,0
DY,87652,4,0
DZ,87913,3,0
E0,88043,1,0
E1,88304,0,0
E2,88434,2,0
E3,88695,1,0
E4,88956,2,0
E5,89086,4,0
E6,89347,3,0
E7,89478,0,0
E8,89739,2,0
E9,90000,4,0
EA,90130,0,0
EB,90391,3,0
EC,90521,1,0
ED,90782,2,0
EE,91043,1,0
EF,91173,4,0
EG,91434,3,0
EH,91565,1,0
EI,91826,0,0
EJ,92086,4,0
EK,92217,2,0
EL,92478,3,0
EM,92608,1,0
EN,92869,0,0
EO,93130,2,0
EP,93260,4,0
EQ,93391,1,0
ER,93521,3,0
ES,93652,0,0
ET,93782,2,0
EU,93913,1,0
EV,94173,0,0
EW,94304,4,0
EX,94434,1,0
EY,94565,3,0
EZ,94695,2,0
F0,94826,4,0
F1,94956,0,0
F2,95217,4,0
F3,95347,2,0
F4,95478,3,0
F5,95608,1,0
F6,95739,2,0
F7,95869,0,0
F8,96000,3,0
F9,96260,4,0
FA,96391,2,0
FB,96521,3,0
FC,96652,1,0
FD,96782,0,0
FE,96913,4,0
